dataset,project,package,complextype,method,smell,severity,multiclass,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
god-class,aoi-2.8.1,artofillusion.object,Tube,,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033333333,4.315789474,30,49,40,3,22,0.905405405,989,16486,136533,1075,49,22,8,8,68,799,1,0,0,2,32,681,5602,30,924,6880,38,3,22,174,0.326436782,151,164,0.702702703,0,other,5,0,5,3,5,0,0,0,5,0,0,0,38,36,2,0,0,5,3,0,1,34,25,2,public
feature-envy,aoi-2.8.1,artofillusion.raster,Raster,createFinalImage(Vec3Vec3Vec3Vec3),1.0,1.0,1.0,4.0,0.0,5.0,1.0,0.0,8.0,165.0,11.0,0.0,19.0,0.0,31.0,0.6666666666666666,4.0,6.0,10.0,0.0,7.0,0.0,0.5714285714285714,0.0,12.066666666666600,11.575757575757500,87.0,42.0,85.0,1.0,37.0,0.7877155172413793,3455.0,3924.0,136533.0,3563.0,0.0,0.0,3.0,29.0,15.0,799.0,8.0,0.0,2.0,1.0,32.0,74.0,5602.0,30.0,84.0,6880.0,33.0,6.0,22.0,161.0,0.5777777777777777,362.0,382.0,0.4375,0.0,other,7.0,0.0,7.0,50.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,51.0,22.0,0.0,0.0,10.0,29.0,0.0,public
long-method,aoi-2.8.1,artofillusion.raster,Raster,renderTriangleGouraud(Vec2floatdoubledoubleRGBColorRGBColorVec2floatdoubledoubleRGBColorRGBColorVec2floatdoubledoubleRGBColorRGBColorRenderingTriangledoubledoublebooleanObjectMaterialInfoRasterContext),1.0,3.0,6.0,24.0,0.0,12.0,4.0,0.0,7.0,646.0,39.0,4.0,141.0,3.0,162.0,0.3333333333333333,4.0,4.0,6.0,2.0,8.0,2.0,0.5,0.0,12.066666666666600,11.575757575757500,87.0,42.0,85.0,1.0,37.0,0.7877155172413793,3455.0,3924.0,136533.0,3563.0,0.0,0.0,3.0,29.0,15.0,799.0,8.0,0.0,2.0,1.0,32.0,74.0,5602.0,30.0,84.0,6880.0,33.0,6.0,22.0,161.0,0.5777777777777777,362.0,382.0,0.4375,0.0,other,7.0,0.0,7.0,50.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,51.0,22.0,0.0,0.0,10.0,29.0,0.0,public
long-method,aoi-2.8.1,artofillusion.raster,Raster,renderTriangleHybrid(Vec2floatVec3Vec3doubledoubleRGBColorVec2floatVec3Vec3doubledoubleRGBColorVec2floatVec3Vec3doubledoubleRGBColorRenderingTriangleVec3Vec3doubledoublebooleanObjectMaterialInfoRasterContext),1.0,3.0,6.0,29.0,0.0,18.0,5.0,0.0,8.0,673.0,53.0,7.0,148.0,3.0,179.0,0.28,5.0,5.0,7.0,3.0,10.0,2.0,0.5,0.0,12.066666666666600,11.575757575757500,87.0,42.0,85.0,1.0,37.0,0.7877155172413793,3455.0,3924.0,136533.0,3563.0,0.0,0.0,3.0,29.0,15.0,799.0,8.0,0.0,2.0,1.0,32.0,74.0,5602.0,30.0,84.0,6880.0,33.0,6.0,22.0,161.0,0.5777777777777777,362.0,382.0,0.4375,0.0,other,7.0,0.0,7.0,50.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,51.0,22.0,0.0,0.0,10.0,29.0,0.0,public
long-method,aoi-2.8.1,artofillusion.raster,Raster,renderTrianglePhong(Vec2floatVec3Vec3doubledoubleVec2floatVec3Vec3doubledoubleVec2floatVec3Vec3doubledoubleRenderingTriangleVec3Vec3doublebooleanbooleanObjectMaterialInfoRasterContext),1.0,3.0,6.0,26.0,0.0,19.0,5.0,0.0,8.0,576.0,55.0,6.0,120.0,3.0,152.0,0.2692307692307692,5.0,8.0,7.0,3.0,13.0,2.0,0.38461538461538464,0.0,12.066666666666600,11.575757575757500,87.0,42.0,85.0,1.0,37.0,0.7877155172413793,3455.0,3924.0,136533.0,3563.0,0.0,0.0,3.0,29.0,15.0,799.0,8.0,0.0,2.0,1.0,32.0,74.0,5602.0,30.0,84.0,6880.0,33.0,6.0,22.0,161.0,0.5777777777777777,362.0,382.0,0.4375,0.0,other,7.0,0.0,7.0,50.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,1.0,51.0,22.0,0.0,0.0,10.0,29.0,0.0,public
god-class,aoi-2.8.1,artofillusion.raster,Raster,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.06666667,11.57575758,87,42,85,1,37,0.787715517,3455,3924,136533,3563,0,0,3,57,15,799,8,0,2,1,32,74,5602,30,84,6880,33,6,22,161,0.577777778,362,382,0.4375,0,other,7,0,7,50,7,0,0,0,1,0,0,0,33,33,0,0,1,51,22,0,0,10,29,0,public
feature-envy,aoi-2.8.1,artofillusion.raytracer,PhotonMap,propagateRay(RayOctreeNodeRTObjectdoubleMaterialMappingMaterialMappingMat4Mat4RGBColorintdoublebooleanboolean),1.0,3.0,3.0,13.0,0.0,23.0,7.0,0.0,6.0,135.0,23.0,0.0,42.0,0.0,76.0,0.11538461538461539,8.0,16.0,3.0,3.0,25.0,0.0,0.32,0.0,9.45,8.347826086956520,71.0,21.0,51.0,1.0,16.0,0.8272727272727273,1030.0,10173.0,136533.0,1054.0,0.0,0.0,3.0,10.0,55.0,799.0,0.0,0.0,0.0,4.0,32.0,301.0,5602.0,20.0,328.0,6880.0,23.0,1.0,22.0,86.0,0.4909090909090909,189.0,192.0,0.6,0.0,other,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,3.0,15.0,11.0,0.0,0.0,9.0,19.0,0.0,public
god-class,aoi-2.8.1,artofillusion.raytracer,PhotonMap,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,8.347826087,71,21,51,1,16,0.827272727,1030,10173,136533,1054,0,0,3,16,55,799,0,0,0,4,32,301,5602,20,328,6880,23,1,22,86,0.490909091,189,192,0.6,0,other,0,0,0,16,0,0,0,0,1,0,0,0,23,23,0,0,3,15,11,0,0,9,19,0,public
feature-envy,aoi-2.8.1,artofillusion.raytracer,Raytracer,propagateRay(RayOctreeNodedoubleMaterialMappingMaterialMappingMat4Mat4RGBColorRGBColorintdouble),1.0,2.0,2.0,11.0,1.0,20.0,6.0,1.0,6.0,152.0,26.0,0.0,41.0,0.0,76.0,0.2857142857142857,9.0,9.0,8.0,1.0,17.0,0.0,0.5294117647058824,0.0,13.03225806451610,13.0,119.0,74.0,140.0,1.0,67.0,0.6920366455250176,2410.0,10173.0,136533.0,2633.0,0.0,0.0,3.0,43.0,55.0,799.0,8.0,0.0,2.0,4.0,32.0,301.0,5602.0,31.0,328.0,6880.0,34.0,13.0,22.0,219.0,0.5018939393939394,404.0,442.0,0.36,0.0,other,13.0,0.0,13.0,94.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,94.0,22.0,12.0,30.0,0.0,public
feature-envy_long-method,aoi-2.8.1,artofillusion.raytracer,Raytracer,traceLightRay(RayLightintOctreeNodeOctreeNodedoubledoubleMaterialMappingMaterialMappingMat4Mat4),1.0,2.0,5.0,11.0,0.0,13.0,6.0,0.0,8.0,107.0,33.0,0.0,26.0,0.0,46.0,0.18181818181818182,9.0,15.0,4.0,2.0,20.0,0.0,0.45,0.0,13.03225806451610,13.0,119.0,74.0,140.0,1.0,67.0,0.6920366455250176,2410.0,10173.0,136533.0,2633.0,0.0,0.0,3.0,43.0,55.0,799.0,8.0,0.0,2.0,4.0,32.0,301.0,5602.0,31.0,328.0,6880.0,34.0,13.0,22.0,219.0,0.5018939393939394,404.0,442.0,0.36,0.0,other,13.0,0.0,13.0,94.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,94.0,22.0,12.0,30.0,0.0,public
god-class,aoi-2.8.1,artofillusion.raytracer,Raytracer,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03225806,13,119,74,140,1,67,0.692036646,2410,10173,136533,2633,0,0,3,107,55,799,8,0,2,4,32,301,5602,31,328,6880,34,13,22,219,0.501893939,404,442,0.36,0,other,13,0,13,94,13,0,0,0,1,0,0,0,34,34,0,0,0,0,0,94,22,12,30,0,public
god-class,aoi-2.8.1,artofillusion.spmanager,HttpSPMFileSystem,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.461538462,7,8,8,12,2,9,0.846153846,1154,8451,136533,1176,7,2,1,11,45,799,4,0,0,0,32,251,5602,13,293,6880,14,0,22,40,0.3,97,98,0.833333333,0,other,1,0,1,10,1,0,0,0,1,0,0,0,14,12,2,1,0,10,8,0,0,6,12,2,public
feature-envy,aoi-2.8.1,artofillusion.translators,OBJExporter,writeScene(ScenePrintWriterbooleandoublebooleanbooleanTextureImageExporterString),1.0,2.0,2.0,8.0,0.0,18.0,7.0,0.0,6.0,224.0,57.0,2.0,37.0,2.0,54.0,0.0,13.0,18.0,0.0,0.0,23.0,2.0,0.5652173913043478,1.0,2.6333333333333300,26.333333333333300,38.0,24.0,32.0,1.0,20.0,0.0,385.0,2883.0,136533.0,385.0,0.0,0.0,0.0,0.0,14.0,799.0,1.0,0.0,0.0,0.0,32.0,54.0,5602.0,3.0,67.0,6880.0,3.0,0.0,22.0,47.0,0.0,79.0,79.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,public
data-class,aoi-2.8.1,artofillusion.translators,TextureImageInfo,,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0.876923077,4,2883,136533,121,0,0,13,13,14,799,0,0,0,0,32,54,5602,1,67,6880,14,0,22,14,0,1,14,0.071428571,0,other,0,0,0,13,0,0,0,0,1,0,0,0,14,14,0,13,0,0,0,0,0,14,0,0,public
long-method,aoi-2.8.1,artofillusion.view,SoftwareCanvasDrawer,renderFlatTriangle(Vec2doubleVec2doubleVec2doubleintintdoubleintRGBColor),1.0,3.0,6.0,11.0,0.0,5.0,2.0,0.0,7.0,309.0,55.0,0.0,50.0,0.0,59.0,0.4444444444444444,1.0,1.0,4.0,0.0,4.0,0.0,0.25,0.0,10.518518518518500,9.89655172413793,28.0,12.0,25.0,1.0,12.0,0.8901098901098902,1716.0,3724.0,136533.0,1741.0,0.0,0.0,2.0,13.0,23.0,799.0,2.0,0.0,1.0,3.0,32.0,144.0,5602.0,27.0,150.0,6880.0,29.0,0.0,22.0,67.0,0.5800865800865801,284.0,287.0,0.9130434782608695,0.0,other,3.0,0.0,3.0,8.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,6.0,6.0,8.0,0.0,23.0,26.0,0.0,public
long-method,aoi-2.8.1,artofillusion.view,SoftwareCanvasDrawer,renderSmoothTriangle(Vec2doubleVec2doubleVec2doubleintintdoubleRGBColorRGBColorRGBColor),1.0,3.0,6.0,12.0,0.0,5.0,2.0,0.0,6.0,367.0,30.0,0.0,77.0,0.0,84.0,0.2857142857142857,1.0,0.0,2.0,0.0,3.0,0.0,0.3333333333333333,0.0,10.518518518518500,9.89655172413793,28.0,12.0,25.0,1.0,12.0,0.8901098901098902,1716.0,3724.0,136533.0,1741.0,0.0,0.0,2.0,13.0,23.0,799.0,2.0,0.0,1.0,3.0,32.0,144.0,5602.0,27.0,150.0,6880.0,29.0,0.0,22.0,67.0,0.5800865800865801,284.0,287.0,0.9130434782608695,0.0,other,3.0,0.0,3.0,8.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,6.0,6.0,8.0,0.0,23.0,26.0,0.0,public
god-class_dataclass,argouml-0.34,org.argouml.cognitive.ui,WizStepManyTextFields,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,10,2,6,2,1,93,4448,284934,105,539,0,1,3,47,2361,0,0,0,0,192,199,15303,1,226,18015,2,0,125,37,1,2,4,0.5,0,other,1,0,1,2,1,0,0,0,1,0,0,0,2,2,0,0,0,3,0,0,0,2,0,0,public
god-class,argouml-0.34,org.argouml.language.cpp.reveng,CPPLexer,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58974359,10.58974359,0,1,0,2,0,0.993506494,2200,13853,284934,2200,50,0,0,8,16,2361,0,0,2,3,192,426,15303,78,439,18015,78,8,125,78,0.010722611,826,826,0.882352941,0,other,8,0,8,0,8,0,0,0,4,73,65,8,5,5,0,0,0,0,8,0,10,60,74,8,public
long-method,argouml-0.34,org.argouml.model.euml,ModelEventPumpEUMLImpl,fireEvent(ObjectObjectObjectintStringEReference),1.0,2.0,5.0,6.0,2.0,0.0,0.0,2.0,6.0,147.0,15.0,0.0,10.0,0.0,13.0,0.3333333333333333,6.0,7.0,1.0,4.0,7.0,0.0,0.8571428571428571,0.0,3.1739130434782600,3.1923076923076900,2.0,9.0,11.0,2.0,10.0,935,528.0,12981.0,284934.0,586.0,12.0,0.0,3.0,8.0,117.0,2361.0,3.0,0.0,0.0,0.0,192.0,1237.0,15303.0,23.0,1423.0,18015.0,26.0,1.0,125.0,57.0,0.4485294117647059,73.0,83.0,0.7647058823529411,0.0,other,3.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,2.0,7.0,8.0,0.0,0.0,16.0,22.0,0.0,package
long-method,argouml-0.34,org.argouml.profile.internal.ocl.uml14,CollectionsModelInterpreter,invokeFeature(MapObjectStringStringObject[]),1.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,7.0,388.0,78.0,0.0,23.0,0.0,23.0,0.0,3.0,5.0,0.0,2.0,5.0,0.0,0.6,0.0,21.75,21.75,0.0,3.0,5.0,1.0,3.0,0.0,441.0,1563.0,284934.0,441.0,0.0,0.0,0.0,0.0,7.0,2361.0,0.0,0.0,1.0,1.0,192.0,36.0,15303.0,4.0,37.0,18015.0,4.0,0.0,125.0,9.0,0.0,87.0,87.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,public
feature-envy,argouml-0.34,org.argouml.uml.ui.foundation.extension_mechanisms,UMLStereotypeTagDefinitionListModel,buildModelList(),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,4.0,0.0,0.75,0.0,1.3333333333333300,1.3333333333333300,1.0,10.0,4.0,4.0,3.0,0.0,31.0,277.0,284934.0,31.0,67.0,0.0,0.0,0.0,4.0,2361.0,0.0,0.0,0.0,0.0,192.0,17.0,15303.0,3.0,18.0,18015.0,3.0,0.0,125.0,41.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,package
feature-envy,argouml-0.34,org.argouml.uml.ui.foundation.extension_mechanisms,UMLStereotypeTagDefinitionListModel,isValidElement(Object),0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,4.0,0.0,0.75,0.0,1.3333333333333300,1.3333333333333300,1.0,10.0,4.0,4.0,3.0,0.0,31.0,277.0,284934.0,31.0,67.0,0.0,0.0,0.0,4.0,2361.0,0.0,0.0,0.0,0.0,192.0,17.0,15303.0,3.0,18.0,18015.0,3.0,0.0,125.0,41.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,package
